"NOC","Gold","Silver","Bronze"
"URS",39,21,2
"CHN",34,15,8
"USA",16,16,10
"BUL",12,16,8
"POL",5,6,21
"RUS",3,13,10
"GER",6,7,11
"IRI",7,5,6
"FRA",9,3,4
"HUN",2,9,9
"GRE",7,5,4
"PRK",5,7,5
"KAZ",6,5,5
"ITA",5,5,5
"TUR",8,2,2
"ROU",2,7,4
"AUT",4,5,2
"JPN",2,3,9
"EGY",5,2,4
"KOR",3,4,5
"THA",5,2,4
"EUN",5,4,0
"BLR",1,5,6
"GDR",1,4,6
"INA",0,5,5
"TCH",3,2,3
"UKR",3,2,3
"FRG",2,2,3
"TPE",1,2,5
"EST",1,3,3
"GBR",1,3,3
"COL",2,2,2
"ARM",0,2,5
"CUB",2,1,2
"BEL",1,2,1
"GEO",2,0,2
"AUS",1,1,2
"DEN",1,2,0
"SUI",0,2,2
"CAN",0,2,1
"FIN",1,0,2
"SWE",0,0,4
"TTO",0,1,2
"CRO",1,0,1
"NED",0,0,3
"ARG",0,1,1
"LAT",0,1,1
"MDA",0,0,2
"MEX",1,0,0
"NOR",1,0,0
"UZB",1,0,0
"LIB",0,1,0
"LUX",0,1,0
"NGR",0,1,0
"PHI",0,1,0
"SGP",0,1,0
"VIE",0,1,0
"AZE",0,0,1
"ESP",0,0,1
"IND",0,0,1
"IRQ",0,0,1
"LTU",0,0,1
"QAT",0,0,1
"VEN",0,0,1
